,Song,Artist,Album,Streams in Millions,Date Published
74,"""Cheerleader (Felix Jaehn Remix)""",Omi,Me 4 U,"1,089",19 May 2014
75,"""Heathens""",Twenty One Pilots,Suicide Squad: The Album,"1,089",16 June 2016
76,"""One Kiss""",Dua Lipa and Calvin Harris,Dua Lipa,1.088,6 April 2018
77,"""Radioactive""",Imagine Dragons,Night Visions,"1,079",4 September 2012
78,"""Attention""",Charlie Puth,Voicenotes,"1,076",21 April 2017
79,"""Moonlight""",XXXTentacion,?,"1,072",16 March 2018
80,"""Eastside""","Benny Blanco, Halsey and Khalid",Friends Keep Secrets,"1,071",12 July 2018
81,"""This Is What You Came For""",Calvin Harris featuring Rihanna,Non-album single,"1,070",29 April 2016
82,"""I Like Me Better""",Lauv,I Met You When I Was 18 (The Playlist),"1,068",19 May 2017
83,"""Riptide""",Vance Joy,Dream Your Life Away,"1,067",21 May 2013
84,"""The Hills""",The Weeknd,Beauty Behind The Madness,"1,067",27 May 2015
85,"""In My Feelings""",Drake,Scorpion,"1,066",29 June 2018
86,"""Old Town Road (Remix)""",Lil Nas X and Billy Ray Cyrus,7,"1,065",5 April 2019
87,"""Can't Feel My Face""",The Weeknd,Beauty Behind the Madness,"1,065",8 June 2015
88,"""Taki Taki""","DJ Snake featuring Selena Gomez, Ozuna and Cardi B",Carte Blanche,"1,061",28 September 2018
89,"""Hello""",Adele,25,"1,060",23 October 2015
90,"""Work from Home""",Fifth Harmony featuring Ty Dolla Sign,7/27,"1,053",26 February 2016
91,"""Sugar""",Maroon 5,V,"1,052",29 August 2014
92,"""We Don't Talk Anymore""",Charlie Puth featuring Selena Gomez,Nine Track Mind,"1,047",29 January 2016
93,"""Demons""",Imagine Dragons,Night Visions,"1,047",4 September 2012
94,"""IDGAF""",Dua Lipa,Dua Lipa,"1,045",2 June 2017
95,"""Chandelier""",Sia,1000 Forms of Fear,"1,044",17 March 2014
96,"""Youngblood""",5 Seconds Of Summer,Youngblood,"1,038",12 April 2018
97,"""I Don't Wanna Live Forever""",Zayn and Taylor Swift,Fifty Shades Darker: Original Motion Picture Soundtrack,"1,036",9 December 2016
98,"""Mi Gente""",J Balvin and Willy William,Vibras,"1,026",30 June 2017
99,"""Rockabye""",Clean Bandit featuring Sean Paul and Anne-Marie,What Is Love? & Speak Your Mind,"1,025",21 October 2016
100,"""Ride""",Twenty One Pilots,Blurryface,"1,025",17 May 2015
